File created: 2021-12-02
Data loaded from: C:\Users\mark.robertson\projects\baseflow_monthly\reservoirs_19901001_20200930
Values in ac-ft
date,American Falls,Anderson Ranch,Arrowrock,Bear Lake,Grassy Lake,Henrys Lake,Island Park,Jackson Lake,Lake Lowell,Lake Owyhee,Little Wood,Lucky Peak,Mackay,Magic,Oakley,Palisades,Ririe,Salmon Falls,month
1990-10-01,64879,193445,39801,383524,12589,76262,61958,574162,28212,195338,1081,105133,626,4760,1100,205925,36502,6600,10
1990-11-01,215177,188076,80974,360424,12667,76945,70202,548277,35291,168314,2074,81125,770,9420,2700,214570,35599,8100,11
1990-12-01,501963,183102,122886,361065,12745,78265,78405,545466,38023,184623,4780,75604,7740,13000,5300,314587,36718,10200,12
1991-01-01,740189,176533,161500,360424,12983,78519,81550,542370,40603,200664,7013,70038,14000,16200,7000,387162,37498,11900,1
1991-02-01,964490,171852,204524,374533,13144,80358,85623,545238,42741,220929,9180,66169,19200,19100,8000,450976,38695,14100,2
1991-03-01,1213500,168712,237058,384810,13225,82217,89523,546403,50427,250803,11613,62954,23000,22300,10700,506992,40631,18000,3
1991-04-01,1500727,171407,206675,399159,13389,84008,100043,556492,98236,289345,14713,95441,26400,27300,13300,575267,43240,22700,4
1991-05-01,1509556,169418,33235,411214,13639,88324,114160,575807,107766,280458,19333,259704,28600,32000,15900,676031,52194,29200,5
1991-06-01,1502914,213202,23486,437108,15043,87132,134878,758730,95142,322868,26330,291830,28900,33600,18700,1115834,69664,39100,6
1991-07-01,1311210,249976,30551,471450,14875,86086,130780,843939,67668,270535,22393,284814,41800,16800,13000,1386404,68906,32100,7
1991-08-01,785433,180138,14716,395682,10842,79602,76212,819251,44430,190107,10702,216410,24400,6200,6600,1059625,67252,15300,8
1991-09-01,303020,119933,14577,332923,10693,76071,48544,730214,42461,107392,3329,90790,4180,4990,3300,829664,65052,5700,9
1991-10-01,121025,92095,4834,322718,10770,75368,55549,641193,48069,53186,1391,32265,1280,3660,1300,722523,50722,6100,10
1991-11-01,235936,84962,37663,316984,10914,76571,68394,631086,53436,50123,2569,29438,2100,8070,3000,665838,35618,7300,11
1991-12-01,560430,82282,78299,327180,11354,78647,78520,644796,54789,71212,5689,38476,9820,12000,5300,736374,37815,10200,12
1992-01-01,825354,77303,100647,338031,11735,80169,87066,647437,55773,93604,8913,59887,16500,15800,7200,810814,39473,12400,1
1992-02-01,1053634,71606,121441,346341,11969,81023,94254,641674,56941,112930,12110,77756,21800,18800,8800,881611,41022,14600,2
1992-03-01,1291164,70072,146839,361065,12282,83049,101242,638786,56818,145534,15171,103430,25600,27000,11300,948742,43034,17600,3
1992-04-01,1476373,81941,146124,386738,12435,84535,109167,637096,55343,170243,22919,180358,28700,34100,13900,1046715,46941,22200,4
1992-05-01,1270616,90223,85476,400898,13719,87264,131972,713453,44599,148076,23844,255563,30900,39700,13400,1048677,48996,25800,5
1992-06-01,911565,113335,18529,350819,15211,87264,131334,829930,21506,88523,15320,271576,16000,5870,8600,743600,47118,17600,6
1992-07-01,649848,91344,15572,273206,15211,76633,94978,690179,25951,33571,9669,169795,2880,6260,5100,556936,45317,9000,7
1992-08-01,344703,59338,8454,212833,14286,64000,49472,469951,6854,3625,4092,76856,426,4850,3500,419623,42678,7600,8
1992-09-01,113330,48058,20576,120366,14203,50004,10323,246140,10737,-8306,872,37638,533,605,2600,387311,19671,6400,9
1992-10-01,127552,38086,31328,101341,12128,50470,4113,131212,11333,-5757,1349,38778,649,3300,2200,333208,18297,6200,10
1992-11-01,233810,30093,52793,85450,12128,51476,26860,121631,12373,2098,2190,45972,3630,5490,2800,341295,17542,7400,11
1992-12-01,468315,23754,77645,85450,12207,53222,41329,124798,21960,18510,4749,49166,10200,7540,4400,390008,17542,9500,12
1993-01-01,706334,17592,101874,87281,12435,55523,55422,138956,34923,37283,7394,49849,15900,9490,6800,431477,18890,11600,1
