Winter baseflows into reservoirs
Data from NRCS ReportGenerator
File created: 2022-02-16
Water years: WY1991-2020
Units: KAF
date,Boise,Upper Snake,Magic,Little Wood,Mackay,Oakley,Salmon Falls,Lake Owyhee,Bear Lake
1991,135.144,351.672,22.54,10.532,25.774,9.6,11.4,25.591,15.635
1992,279.229,320.095,30.44,13.78,27.42,10.0,11.5,59.744,64.02
1993,309.354,270.134,34.4,10.492,26.251,7.8,10.2,65.548,51.746
1994,64.425,258.539,24.9,15.047,23.3,6.5,7.8,26.424,57.466
1995,405.885,442.955,73.78,12.285,23.886,13.0,18.2,89.039,117.502
1996,-83.896,-521.646,42.3,1.096,20.2,11.0,15.3,75.705,113.4
1997,-272.156,-783.061,33.8,-6.061,12.79,10.6,13.3,188.747,109.441
1998,204.53,-314.047,52.8,9.956,22.0,8.7,5.1,35.542,-175.267
1999,-65.529,-413.463,-4.0,12.921,14.1,3.8,6.1,36.592,-170.499
2000,243.544,90.215,51.3,15.758,21.4,7.1,8.4,20.864,-124.345
2001,169.009,313.835,38.9,13.534,25.34,8.0,10.8,38.758,44.861
2002,221.292,311.938,19.95,10.184,25.01,9.0,10.1,47.931,9.773
2003,263.109,416.498,29.73,11.169,21.13,9.0,11.1,52.153,31.508
2004,251.392,383.121,36.11,10.983,22.86,8.7,9.9,67.6,31.533
2005,174.369,450.312,26.9,12.301,25.08,10.0,13.0,77.62,36.826
2006,40.851,354.115,39.9,2.237,26.51,12.3,7.2,223.135,91.755
2007,324.816,425.829,65.8,17.336,30.4,9.4,8.3,50.391,115.809
2008,267.258,495.928,22.1,9.123,27.872,7.9,10.4,49.301,40.947
2009,182.989,466.417,33.4,12.793,26.18,8.9,12.5,46.368,61.9
2010,169.235,324.555,38.8,14.847,26.4,8.6,9.1,57.749,33.7
2011,242.602,142.551,42.2,14.291,17.63,11.2,20.6,246.631,67.2
2012,183.173,-125.106,87.9,13.636,13.09,8.82,3.5,34.404,-12.5
2013,205.508,397.145,-14.3,14.821,21.18,8.55,8.995,50.595,36.881
2014,309.171,430.326,56.2,12.992,28.258,9.313,13.147,63.262,43.63
2015,418.972,524.829,63.39,15.508,24.56,9.554,18.972,117.41,71.129
2016,355.544,452.801,73.36,11.99,28.03,11.358,16.3,88.481,57.521
2017,255.39,257.429,130.62,3.466,8.2,27.886,48.9,80.589,246.657
2018,274.46,-144.738,76.7,15.433,-0.51,8.199,0.71,58.419,-120.16
2019,143.688,308.2,21.41,6.808,8.48,11.978,9.45,53.294,51.404
2020,200.391,288.697,57.41,13.111,18.13,11.088,5.63,51.841,12.453
