File created: 2022-02-16
Data loaded from: \\usda.net\NRCS\home\IDBOI\NRCS\Mark.Robertson\Documents\data\reservoir\reservoirs_19901001_20200930
Values in ac-ft
date,month,wy,Boise,Upper Snake,Magic,Little Wood,Mackay,Oakley,Salmon Falls,Lake Owyhee,Bear Lake
1990-10-01,10,1991,338379,780087,4760,1081,626,1100,6600,195338,383524
1990-11-01,11,1991,350175,762847,9420,2074,770,2700,8100,168314,360424
1990-12-01,12,1991,381592,860053,13000,4780,7740,5300,10200,184623,361065
1991-01-01,1,1991,408071,929532,16200,7013,14000,7000,11900,200664,360424
1991-02-01,2,1991,442545,996214,19100,9180,19200,8000,14100,220929,374533
1991-03-01,3,1991,468724,1053395,22300,11613,23000,10700,18000,250803,384810
1991-04-01,4,1991,473523,1131759,27300,14713,26400,13300,22700,289345,399159
1991-05-01,5,1991,462357,1251838,32000,19333,28600,15900,29200,280458,411214
1991-06-01,6,1991,528518,1874564,33600,26330,28900,18700,39100,322868,437108
1991-07-01,7,1991,565341,2230343,16800,22393,41800,13000,32100,270535,471450
1991-08-01,8,1991,411264,1878876,6200,10702,24400,6600,15300,190107,395682
1991-09-01,9,1991,225300,1559878,4990,3329,4180,3300,5700,107392,332923
1991-10-01,10,1992,129194,1363716,3660,1391,1280,1300,6100,53186,322718
1991-11-01,11,1992,152063,1296924,8070,2569,2100,3000,7300,50123,316984
1991-12-01,12,1992,199057,1381170,12000,5689,9820,5300,10200,71212,327180
1992-01-01,1,1992,237837,1458251,15800,8913,16500,7200,12400,93604,338031
1992-02-01,2,1992,270803,1523285,18800,12110,21800,8800,14600,112930,346341
1992-03-01,3,1992,320341,1587528,27000,15171,25600,11300,17600,145534,361065
1992-04-01,4,1992,408423,1683811,34100,22919,28700,13900,22200,170243,386738
1992-05-01,5,1992,431262,1762130,39700,23844,30900,13400,25800,148076,400898
1992-06-01,6,1992,403440,1573530,5870,15320,16000,8600,17600,88523,350819
1992-07-01,7,1992,276711,1247115,6260,9669,2880,5100,9000,33571,273206
1992-08-01,8,1992,144648,889574,4850,4092,426,3500,7600,3625,212833
1992-09-01,9,1992,106272,633451,605,872,533,2600,6400,-8306,120366
1992-10-01,10,1993,108192,464420,3300,1349,649,2200,6200,-5757,101341
1992-11-01,11,1993,128858,462926,5490,2190,3630,2800,7400,2098,85450
1992-12-01,12,1993,150565,514806,7540,4749,10200,4400,9500,18510,85450
1993-01-01,1,1993,169315,570433,9490,7394,15900,6800,11600,37283,87281
