site_id,site_name,basins,site_number,elev,sec,twp,rng,config,former association,county,quad_map,ownership,status,record,state,longitude,latitude,aws url string
306,Atlanta Summit,"Boise, West Central, Central",15F04S,7580,23,5N,10E,SNTL,Middle Fork Boise,Elmore,Atlanta West,Boise NF,A,-81,ID,-115.2391,43.7569,Atlanta%20Summit
312,Banner Summit,"Payette, Salmon, West Central, Central",15E11S,7040,11,11N,10E,SNTL,South Fork Payette,Boise,Banner Summit,Boise NF,A,-81,ID,-115.2345,44.3034,Banner%20Summit
314,Base Camp,Snake Above Palisades,,7060,,,,SNTL,,,,,,,WY,,,Base%20Camp
318,Beagle Springs,"Birch, Wood and Lost",,8850,,,,SNTL,,,,,,,MT,,,Beagle%20Springs
319,Bear Basin,"Payette, Salmon, West Central, Central",16E11S,5350,30,19N,3E,SNTL,Little Salmon,Adams,Meadows,Payette NF,A,-81,ID,-116.1429,44.9522,Bear%20Basin
320,Bear Canyon,"Little Wood, Big Lost, Wood and Lost, Central",13F03S,7900,22,5N,21E,SNTL,Big Lost,Custer,Star Hope Mine,Challis NF,A,-82,ID,-113.938,43.7437,Bear%20Canyon
321,Bear Creek,Bruneau,,8040,,,,SNTL,,,,,,,NV,,,Bear%20Creek
323,Bear Mountain,Pend Oreille-Kootenai,16A08S,5400,9,57N,3E,SNTL,Clark Fork,Bonner,Benning Mountain,Kaniksu NF,A,-81,ID,-116.0745,48.3058,Bear%20Mountain
992,Bear River RS,Bear,,8777,,,,SNTL,,,,,,,UT,,,Bear%20River%20RS
324,Bear Saddle,"Weiser, Payette, West Central, Central",16E10S,6180,30,15N,5W,SNTL,Mann,Washington,Sturgill Peak,Payette NF,A,-82,ID,-116.9801,44.6055,Bear%20Saddle
336,Big Bend,"Owyhee, Bruneau",,6898,,,,SNTL,,,,,,,NV,,,Big%20Bend
338,Big Creek Summit,"Payette, Salmon, West Central, Central",15E02S,6580,24,15N,5E,SNTL,Salmon,Valley,Gold Fork Rock,Boise NF,A,-82,ID,-115.7937,44.6264,Big%20Creek%20Summit
353,Blind Bull Sum,Snake Above Palisades,,8650,,,,SNTL,,,,,,,WY,,,Blind%20Bull%20Sum
978,Bogus Basin,"Boise, Payette, West Central, Central",16F02S,6340,16,5N,3E,SNTL,Payette,Boise,Shafer Butte,Private,A,-99,ID,-116.0969,43.7638,Bogus%20Basin
359,Bostetter R.S.,"Salmon Falls, Goose Creek",14G01S,7500,35,14S,19E,SNTL,Trapper,Cassia,Trapper Peak,Sawtooth NF,A,-82,ID,-114.1927,42.1646,Bostetter%20R.S.
370,Brundage Reservoir,"Payette, Salmon, West Central, Central",16D09S,6250,30,20N,3E,SNTL,Little Salmon,Adams,Brundage Mountain,Payette NF,A,-87,ID,-116.1325,45.0432,Brundage%20Reservoir
2151,Buffalo Jump,Bear,,6682,,,,SNTL,,,,,,,UT,,,Buffalo%20Jump
374,Bug Lake,Bear,,7987,,,,SNTL,,,,,,,UT,,,Bug%20Lake
376,Bunchgrass Meadow,Pend Oreille-Kootenai,,5000,,,,SNTL,,,,,,,WA,,,Bunchgrass%20Meadow
1135,Burts Miller Ranch,Bear,,8000,,,,SNTL,,,,,,,UT,,,Burts%20Miller%20Ranch
382,Camas Creek Divide,"Boise, Big Wood, Wood and Lost, West Central, Central",15F09S,5710,11,2S,9E,SNTL,Big Wood,Elmore,Cat Creek Summit,Boise NF,A,-92,ID,-115.3453,43.2655,Camas%20Creek%20Divide
392,Chalk Creek #1,Bear,,9171,,,,SNTL,,,,,,,UT,,,Chalk%20Creek%20#1
